spray_date,spray_rate,wash_date,wash_type,item_type,electric_dryer,drying_split,conc,lod,sd_block,clrep
6/21/17,1x,6/22/17,agitator,100 tshirt,no,CL,1.3346,NA,1,4
6/21/17,1x,6/22/17,agitator,50:50 tshirt,no,CL,2.1215,NA,1,4
6/21/17,1x,6/22/17,HE,onesie,no,UV,0.2721,NA,1,5
6/21/17,1x,6/22/17,HE,workshirt,no,UV,1.038,NA,1,5
6/21/17,1x,6/22/17,HE,jeans,no,UV,2.6692,NA,1,5
6/21/17,1x,6/22/17,HE,100 tshirt,no,UV,1.3642,NA,1,5
6/21/17,1x,6/22/17,HE,50:50 tshirt,no,UV,1.704,NA,1,5
6/21/17,1x,6/22/17,HE,onesie,no,WND,0.2221,NA,1,5
6/21/17,1x,6/22/17,HE,workshirt,no,WND,1.123,NA,1,5
6/21/17,1x,6/22/17,HE,jeans,no,WND,2.9258,NA,1,5
6/21/17,1x,6/22/17,HE,100 tshirt,no,WND,1.4523,NA,1,5
6/21/17,1x,6/22/17,HE,50:50 tshirt,no,WND,1.0411,NA,1,5
6/21/17,1x,6/22/17,HE,onesie,yes,NA,0.279,NA,1,5
6/21/17,1x,6/22/17,HE,workshirt,yes,NA,1.3213,NA,1,5
6/21/17,1x,6/22/17,HE,jeans,yes,NA,2.9966,NA,1,5
6/21/17,1x,6/22/17,HE,100 tshirt,yes,NA,1.3981,NA,1,5
6/21/17,1x,6/22/17,HE,50:50 tshirt,yes,NA,1.5462,NA,1,5
6/21/17,1x,6/22/17,HE,onesie,no,CL,0.2675,NA,1,5
6/21/17,1x,6/22/17,HE,workshirt,no,CL,0.8868,NA,1,5
6/21/17,1x,6/22/17,HE,jeans,no,CL,2.7034,NA,1,5
6/21/17,1x,6/22/17,HE,100 tshirt,no,CL,1.3483,NA,1,5
6/21/17,1x,6/22/17,HE,50:50 tshirt,no,CL,1.4541,NA,1,5
6/28/17,1x,6/28/17,none,workshirt,no,NA,5.5431,NA,2,9
6/28/17,1x,6/28/17,none,jeans,no,NA,4.9337,NA,2,9
6/28/17,1x,6/28/17,none,100 tshirt,no,NA,2.7683,NA,2,9
6/28/17,1x,6/28/17,none,50:50 tshirt,no,NA,3.3325,NA,2,9
6/28/17,1x,6/28/17,agitator,onesie,no,UV,0.1785,NA,2,7
6/28/17,1x,6/28/17,agitator,workshirt,no,UV,0.6409,NA,2,7
6/28/17,1x,6/28/17,agitator,jeans,no,UV,2.8912,NA,2,7
6/28/17,1x,6/28/17,agitator,100 tshirt,no,UV,1.0837,NA,2,7
6/28/17,1x,6/28/17,agitator,50:50 tshirt,no,UV,1.5337,NA,2,7
6/28/17,1x,6/28/17,agitator,onesie,no,WND,0.1156,NA,2,7
6/28/17,1x,6/28/17,agitator,workshirt,no,WND,0.7171,NA,2,7
6/28/17,1x,6/28/17,agitator,jeans,no,WND,2.5125,NA,2,7
6/28/17,1x,6/28/17,agitator,100 tshirt,no,WND,1.3627,NA,2,7
6/28/17,1x,6/28/17,agitator,50:50 tshirt,no,WND,1.533,NA,2,7
6/28/17,1x,6/28/17,agitator,onesie,yes,NA,0.2464,NA,2,7
6/28/17,1x,6/28/17,agitator,workshirt,yes,NA,0.9147,NA,2,7
