spray_date,spray_rate,wash_date,wash_type,item_type,electric_dryer,drying_split,conc,lod,sd_block,clrep
7/12/17,9x,7/13/17,agitator,workshirt,no,CL,10.7097,NA,4,22
7/12/17,9x,7/13/17,agitator,jeans,no,CL,30.5514,NA,4,22
7/12/17,9x,7/13/17,agitator,100 tshirt,no,CL,9.1167,NA,4,22
7/12/17,9x,7/13/17,agitator,50:50 tshirt,no,CL,9.093,NA,4,22
7/12/17,9x,7/13/17,HE,onesie,no,UV,1.0116,NA,4,23
7/12/17,9x,7/13/17,HE,workshirt,no,UV,7.5995,NA,4,23
7/12/17,9x,7/13/17,HE,jeans,no,UV,23.3322,NA,4,23
7/12/17,9x,7/13/17,HE,100 tshirt,no,UV,5.1803,NA,4,23
7/12/17,9x,7/13/17,HE,50:50 tshirt,no,UV,5.3607,NA,4,23
7/12/17,9x,7/13/17,HE,onesie,no,WND,1.0272,NA,4,23
7/12/17,9x,7/13/17,HE,workshirt,no,WND,6.5181,NA,4,23
7/12/17,9x,7/13/17,HE,jeans,no,WND,25.301,NA,4,23
7/12/17,9x,7/13/17,HE,100 tshirt,no,WND,5.032,NA,4,23
7/12/17,9x,7/13/17,HE,50:50 tshirt,no,WND,5.52,NA,4,23
7/12/17,9x,7/13/17,HE,onesie,yes,NA,2.0509,NA,4,23
7/12/17,9x,7/13/17,HE,workshirt,yes,NA,6.8178,NA,4,23
7/12/17,9x,7/13/17,HE,jeans,yes,NA,25.9312,NA,4,23
7/12/17,9x,7/13/17,HE,100 tshirt,yes,NA,6.1328,NA,4,23
7/12/17,9x,7/13/17,HE,50:50 tshirt,yes,NA,6.3486,NA,4,23
7/12/17,9x,7/13/17,HE,onesie,no,CL,1.2715,NA,4,23
7/12/17,9x,7/13/17,HE,workshirt,no,CL,12.094,NA,4,23
7/12/17,9x,7/13/17,HE,jeans,no,CL,26.7602,NA,4,23
7/12/17,9x,7/13/17,HE,100 tshirt,no,CL,5.609,NA,4,23
7/12/17,9x,7/13/17,HE,50:50 tshirt,no,CL,7.1016,NA,4,23
