zcta,city,state,metro,county,price_psf,sale_count,pop_density,population,pov,med_hh_income
80521,Fort Collins,CO,Fort Collins,Larimer County,336.927223719677,49,1.000343133365916,36768,9.5,43.741
81005,Pueblo,CO,Pueblo,Pueblo County,165.48275862069,66,0.05258898890841361,31361,7.4,45.284
80111,Greenwood Village,CO,Denver-Aurora-Lakewood,Arapahoe County,299.398948159279,57,1.1549941992190778,32220,2.8,102.191
80120,Littleton,CO,Denver-Aurora-Lakewood,Arapahoe County,305.045659461334,48,1.4534177405318007,31255,8.2,67.432
80917,Colorado Springs,CO,Colorado Springs,El Paso County,269.507222337411,78,1.8368178285198344,31036,9,54.659
80260,Thornton,CO,Denver-Aurora-Lakewood,Adams County,219.923154446964,33,2.8073530568789975,34861,18.3,45.324
80602,Thornton,CO,Denver-Aurora-Lakewood,Adams County,218.041237113402,108,0.42456671879803964,33077,0.9,107.317
80026,Lafayette,CO,Boulder,Boulder County,334.485397507682,62,0.5051769462812402,29160,7.8,76.794
80202,Denver,CO,Denver-Aurora-Lakewood,Denver County,535.9394703657,34,4.455750566235113,12923,11.1,83.75
80239,Denver,CO,Denver-Aurora-Lakewood,Denver County,242.851160013901,53,1.8120843890159808,46852,19.3,54.346
80214,Lakewood,CO,Denver-Aurora-Lakewood,Jefferson County,337.45944859661,46,2.1835462283915534,26030,20.5,42.607
80218,Denver,CO,Denver-Aurora-Lakewood,Denver County,397.707792207792,43,4.635399552913373,19214,9.6,56.43
80910,Colorado Springs,CO,Colorado Springs,El Paso County,228.103053082953,61,2.0220198420056965,30379,19.7,37.681
81001,Pueblo,CO,Pueblo,Pueblo County,123.859301643192,54,0.3404960276182841,30765,23,33.801
80237,Denver,CO,Denver-Aurora-Lakewood,Denver County,269.494358545758,36,2.1900638487845145,20280,4.6,67.988
80122,Centennial,CO,Denver-Aurora-Lakewood,Arapahoe County,263.758709498162,85,1.773596827997653,32419,2.6,92.263
81504,Grand Junction,CO,Grand Junction,Mesa County,163.230493005618,97,0.9660419856866714,28300,7.7,53.404
80104,Castle Rock,CO,Denver-Aurora-Lakewood,Douglas County,224.867724867725,98,0.15158067519879376,30458,2.8,92.441
80550,Windsor,CO,Greeley,Weld County,201.908448547716,NA,0.18820645948807943,26555,2,88.262
80033,Wheat Ridge,CO,Denver-Aurora-Lakewood,Jefferson County,292.081736909323,43,1.1642961366736455,24977,9.3,52.193
80302,Boulder,CO,Boulder,Boulder County,716.436305284664,39,0.13567717809425187,29016,8.6,50.009
81007,Pueblo,CO,Pueblo,Pueblo County,176.875430144529,61,0.08062470760954442,30901,6.3,65.09
80301,Boulder,CO,Boulder,Boulder County,408.911112950525,36,0.3382466035834887,25404,7,79.494
80241,Thornton,CO,Denver-Aurora-Lakewood,Adams County,234.442325513443,84,1.9687623508129966,33669,2.1,85.38
80304,Boulder,CO,Boulder,Boulder County,623.238146081849,54,1.1153733344710273,26418,5.6,87.972
80911,Security-Widefield,CO,Colorado Springs,El Paso County,247.966905078261,95,1.1121669973941695,34718,5.2,61.923
80138,Parker,CO,Denver-Aurora-Lakewood,Douglas County,236.766619713997,87,0.19533750476366096,31985,2.5,111.723
80303,Boulder,CO,Boulder,Boulder County,469.494047619048,36,0.4331544401175895,24734,4.3,56.281
80919,Colorado Springs,CO,Colorado Springs,El Paso County,312.326677958891,65,0.7434871580484813,27541,2.7,91.175
80234,Westminster,CO,Denver-Aurora-Lakewood,Adams County,227.566539923954,51,1.4930491405544652,27412,8.9,66.959
80129,Highlands Ranch,CO,Denver-Aurora-Lakewood,Douglas County,253.180975911056,77,1.5370219235740563,29681,1.3,110.801
80923,Colorado Springs,CO,Colorado Springs,El Paso County,325.740418118467,103,1.6056653022302012,28382,5.8,85.479
81004,Pueblo,CO,Pueblo,Pueblo County,137.611961944541,76,0.06213160759070251,26215,21.6,32.464
80005,Arvada,CO,Denver-Aurora-Lakewood,Jefferson County,272.130177514793,68,0.9864166516995992,29037,4.1,96.949
80222,Denver,CO,Denver-Aurora-Lakewood,Denver County,332.582498319652,59,2.2064376865158533,22688,12.2,54.08
80108,Castle Rock,CO,Denver-Aurora-Lakewood,Douglas County,242.974292651169,92,0.2788934359250253,25700,2,132.588
80817,Fountain,CO,Colorado Springs,El Paso County,271.972789115646,96,0.18343453173441215,30038,8.6,60.936
80113,Englewood,CO,Denver-Aurora-Lakewood,Arapahoe County,415.542698313567,49,1.1460914838958982,22446,4.8,62.321
80516,Erie,CO,Greeley,Weld County,216.726878612717,118,0.2429203472721274,25117,2.1,112.113
80904,Colorado Springs,CO,Colorado Springs,El Paso County,314.243614931238,40,0.8137512498803635,20091,12.9,47.873
80132,Monument,CO,Colorado Springs,El Paso County,304.182163843761,62,0.2744713128293986,21736,2.2,126.619
80110,Englewood,CO,Denver-Aurora-Lakewood,Arapahoe County,315.009308510638,38,1.3508023023738525,22139,19.7,53.915
81501,Grand Junction,CO,Grand Junction,Mesa County,168.218409497479,63,1.2070674195949773,24836,14.4,35.737
80922,Colorado Springs,CO,Colorado Springs,El Paso County,316.859311096134,103,1.8439241251224248,28508,4.8,85.855
80831,Peyton,CO,Colorado Springs,El Paso County,236.191860465116,88,0.04849139034846098,23859,7.4,86.967
81401,Montrose,CO,Montrose,Montrose County,174.981923355025,56,0.03633111402291992,21976,11.7,41.451
80130,Highlands Ranch,CO,Denver-Aurora-Lakewood,Douglas County,239.425379090184,63,1.7394758089649682,28800,1.6,115.276
80249,Denver,CO,Denver-Aurora-Lakewood,Denver County,196.124031007752,79,0.23797489624515364,29418,8.2,71.46
80439,Evergreen,CO,Denver-Aurora-Lakewood,Jefferson County,353.294560274554,52,0.05304228788538368,24284,3.2,100.775
80212,Denver,CO,Denver-Aurora-Lakewood,Denver County,472.541507024266,55,2.1269319514762834,19672,3.4,73.154
80124,Lone Tree,CO,Denver-Aurora-Lakewood,Douglas County,280.706836616454,40,0.829136253435108,20366,1.5,110.403
80238,Denver,CO,Denver-Aurora-Lakewood,Denver County,297.638678208512,65,1.3775729124490383,17311,3.6,135.819
80023,Broomfield,CO,Denver-Aurora-Lakewood,Broomfield County,262.091220676797,64,0.4332057757440948,19779,4.5,114.517
80215,Lakewood,CO,Denver-Aurora-Lakewood,Jefferson County,311.813186813187,27,1.3420822972663373,19343,9.5,64.195
80232,Lakewood,CO,Denver-Aurora-Lakewood,Jefferson County,309.962406015038,47,2.1010086355792295,22476,7.3,64.627
80224,Denver,CO,Denver-Aurora-Lakewood,Denver County,328.153846153846,43,2.306908426021691,18794,13.6,59.352
80207,Denver,CO,Denver-Aurora-Lakewood,Denver County,442.397425583266,51,2.2145613519336753,26185,12,73.325
80921,Colorado Springs,CO,Colorado Springs,El Paso County,311.381891598916,59,0.09702626649213059,21870,1.6,117.677
80915,Colorado Springs,CO,Colorado Springs,El Paso County,261.995967741935,48,1.0457793144672984,21078,9.6,57.193
80403,Golden,CO,Denver-Aurora-Lakewood,Jefferson County,335.18133605952403,39,0.0552336443093521,19121,2.6,106.355
80002,Arvada,CO,Denver-Aurora-Lakewood,Jefferson County,299.353842012726,30,1.1427036074947703,18211,8.6,54.493
80528,Fort Collins,CO,Fort Collins,Larimer County,234.096508395794,31,0.41963823333054534,20681,5.8,99.12
80246,Denver,CO,Denver-Aurora-Lakewood,Denver County,370.335570469799,13,3.006372937900658,13438,18.6,50.151
80905,Colorado Springs,CO,Colorado Springs,El Paso County,277.996374493495,NA,1.3299945568842182,17087,21.4,41.961
80109,Castle Rock,CO,Denver-Aurora-Lakewood,Douglas County,214.995853351636,75,0.3136734023224509,21427,6.2,120.989
80223,Denver,CO,Denver-Aurora-Lakewood,Denver County,393.38494018297,26,1.5246538243627736,20651,17.6,48.066
80908,Black Forest,CO,Colorado Springs,El Paso County,302.428685421125,62,0.06743175659895967,16657,4,110.259
80305,Boulder,CO,Boulder,Boulder County,609.375,26,0.9326124733473486,17462,4,89.954
80121,Centennial,CO,Denver-Aurora-Lakewood,Arapahoe County,384.029949543381,49,0.9890625712894493,19185,4.4,91.497
81101,Alamosa,CO,other,Alamosa County,122.648261758691,18,0.014683236546945488,15568,15.3,35.776
81147,Pagosa Springs,CO,other,Archuleta County,153.729146221786,47,0.003417487742465183,11944,4.9,47.889
80903,Colorado Springs,CO,Colorado Springs,El Paso County,316.985645933014,27,1.2676006416953838,15879,16.5,40.974
81623,Carbondale,CO,Glenwood Springs,Garfield County,483.80355276907,31,0.01366130683839095,15745,6.8,83.09
80751,Sterling,CO,Sterling,Logan County,144.444444444444,35,0.01444698593605851,17577,13,42.392
81321,Cortez,CO,other,Montezuma County,149.331086601307,27,0.013712624791725875,14960,14.3,45.036
81521,Fruita,CO,Grand Junction,Mesa County,186.627462229872,44,0.04162751805080212,15923,3.3,57.927
81507,Grand Junction,CO,Grand Junction,Mesa County,189.342105263158,44,0.05279606560703181,15055,5.6,78.852
80534,Johnstown,CO,Greeley,Weld County,205.481459275551,47,0.1295487080950707,16258,4.5,86.273
81503,Grand Junction,CO,Grand Junction,Mesa County,165.14598540146,39,0.1693369348648033,15388,11.1,51.344
80517,Estes Park,CO,Fort Collins,Larimer County,349.375426003978,24,0.012531377450379251,9605,2.1,58.387
80701,Fort Morgan,CO,Fort Morgan,Morgan County,102.722583164862,7,0.009732150466229038,15316,14.1,51.001
80465,Morrison,CO,Denver-Aurora-Lakewood,Jefferson County,327.702397647133,45,0.13864247540852193,16204,2.3,98.967
80030,Westminster,CO,Denver-Aurora-Lakewood,Adams County,310.93308199811497,26,2.3961965431745886,16364,18.3,49.152
80236,Denver,CO,Denver-Aurora-Lakewood,Denver County,272.409608717187,15,2.323396675426424,19333,11.4,55.054
81601,Glenwood Springs,CO,Glenwood Springs,Garfield County,350.225602671196,14,0.017431817901393507,15590,8.9,70.724
81520,Clifton,CO,Grand Junction,Mesa County,155.011539901027,22,0.25326549608329985,13551,13.7,34.907
80513,Berthoud,CO,Fort Collins,Larimer County,226.584397713979,20,0.07048107677936354,12001,4.2,87.513
81003,Pueblo,CO,Pueblo,Pueblo County,132.65306122449,25,0.723461749076528,15040,24.7,29.795
81416,Delta,CO,other,Delta County,155.913904235727,24,0.016377808144028994,14285,11.3,39.926
80424,Breckenridge,CO,Breckenridge,Summit County,602.37563913684,35,0.031287976321686346,10204,2.5,85.182
81008,Pueblo,CO,Pueblo,Pueblo County,160.800091236251,23,0.03086630319922713,10723,9.4,52.566
80007,Arvada,CO,Denver-Aurora-Lakewood,Jefferson County,250.217580504787,41,0.15306544853810686,10174,2,134.472
81506,Grand Junction,CO,Grand Junction,Mesa County,166.291585127202,36,0.3457686037964654,11517,3.4,50.057
81201,Salida,CO,other,Chaffee County,316.455696202532,26,0.007744102535056432,8941,7.5,51.691
80863,Woodland Park,CO,Colorado Springs,Teller County,250.368188512518,42,0.04015336665085646,12876,6,77.348
81650,Rifle,CO,Glenwood Springs,Garfield County,258.59638047138,27,0.0054613886727022855,13147,4.9,59.275
81082,Trinidad,CO,other,Las Animas County,117.289402173913,NA,0.007220874589099704,11176,14.7,39.778
81611,Aspen,CO,Glenwood Springs,Pitkin County,1586.52134803421,16,0.00928199314608217,10299,3.8,71.199
80107,Elizabeth,CO,Denver-Aurora-Lakewood,Elbert County,251.868251295035,33,0.032216979850866224,13007,3.8,92.609
81230,Gunnison,CO,other,Gunnison County,270.447110141767,NA,0.002053525910745904,9497,7.3,47.018
80603,Lochbuie,CO,Greeley,Weld County,197.585071350165,33,0.06272907373596244,13055,2.2,80.222
80487,Steamboat Springs,CO,Steamboat Springs,Routt County,423.169350151032,73,0.009352073709563565,17708,5.2,71.51
81625,Craig,CO,Craig,Moffat County,110.873501498501,23,0.0031127389206384018,12398,10.4,53.406
81403,Montrose,CO,Montrose,Montrose County,202.91972399814,23,0.0076756308455837785,10983,5.5,56.719
80435,Keystone,CO,Breckenridge,Summit County,510.115456968671,33,0.02666097124987623,7162,4.5,75.924
81505,Grand Junction,CO,Grand Junction,Mesa County,184.785930353806,NA,0.03550943818129469,9261,3.2,55.647
80621,Fort Lupton,CO,Greeley,Weld County,225.10868742669,16,0.03757509384930569,12397,13.2,58.295
80549,Wellington,CO,Fort Collins,Larimer County,187.016812163871,29,0.020183535502716985,10674,9.1,83.155
80018,Aurora,CO,Denver-Aurora-Lakewood,Arapahoe County,205.277044854881,49,0.17772427636065322,12215,9.6,98.427
81006,Pueblo,CO,Pueblo,Pueblo County,174.945254364444,18,0.0790220888348026,11592,8.2,56.054
81050,La Junta,CO,other,Otero County,91.5024630541872,11,0.00651487697169474,9064,23.5,33.091
81122,Bayfield,CO,Durango,La Plata County,203.329694323144,22,0.006128027093648619,8052,4.2,62.513
81632,Edwards,CO,Edwards,Eagle County,429.340511440108,39,0.028956868414112557,9159,10.6,82.839
80230,Denver,CO,Denver-Aurora-Lakewood,Denver County,319.910448577253,17,1.390694585629634,8965,13.4,86.464
80640,Commerce City,CO,Denver-Aurora-Lakewood,Adams County,194.964945825366,31,0.3857312530781173,13194,10.3,79.596
80125,Roxborough Park,CO,Denver-Aurora-Lakewood,Douglas County,248.433712807985,26,0.09650911740354752,10531,1.4,116.455
81211,Buena Vista,CO,other,Chaffee County,268.248992386923,13,0.006844474159442311,8178,8.3,53.779
80433,Conifer,CO,Denver-Aurora-Lakewood,Jefferson County,369.790224011164,30,0.03997003736647021,8480,1.9,92.561
81435,Telluride,CO,other,San Miguel County,826.411510763562,20,0.014778705117724517,5123,4.6,66.716
80421,Bailey,CO,Denver-Aurora-Lakewood,Park County,310.307824380672,17,0.024564205230601592,8770,3.9,66.618
80235,Denver,CO,Denver-Aurora-Lakewood,Denver County,231.610337972167,24,0.9116136718080475,8595,11.1,59.787
81621,Basalt,CO,Edwards,Eagle County,452.066475057976,11,0.010370893376032616,5973,6.2,78.026
